"Week","Season Type","Start Date","Completed","Home Id","Home Team","Home Division","Home Conference","Home Points","Away Id","Away Team","Away Division","Away Conference","Away Points"
"1","regular","2024-09-01T00:00:00.000Z","true","326","Texas State","fbs","Sun Belt","34","2320","Lamar","fcs","Southland","27"
"1","regular","2024-09-01T00:00:00.000Z","true","309","Louisiana","fbs","Sun Belt","40","2755","Grambling","fcs","SWAC","10"
"1","regular","2024-09-01T00:00:00.000Z","true","2567","SMU","fbs","ACC","59","2277","Houston Christian","fcs","Southland","7"
"1","regular","2024-09-01T00:00:00.000Z","true","301","San Diego","fcs","Pioneer","27","13","Cal Poly","fcs","Big Sky","21"
"1","regular","2024-09-01T00:00:00.000Z","true","252","BYU","fbs","Big 12","41","79","Southern Illinois","fcs","MVFC","13"
"1","regular","2024-09-01T01:00:00.000Z","true","166","New Mexico State","fbs","Conference USA","23","2546","Southeast Missouri State","fcs","Big South-OVC","16"
"1","regular","2024-09-01T01:00:00.000Z","true","149","Montana","fcs","Big Sky","29","2623","Missouri State","fcs","MVFC","24"
"1","regular","2024-09-01T02:00:00.000Z","true","3101","Utah Tech","fcs","UAC","7","147","Montana State","fcs","Big Sky","31"
"1","regular","2024-09-01T02:30:00.000Z","true","12","Arizona","fbs","Big 12","61","167","New Mexico","fbs","Mountain West","39"
"1","regular","2024-09-01T02:30:00.000Z","true","9","Arizona State","fbs","Big 12","48","2751","Wyoming","fbs","Mountain West","7"
"1","regular","2024-09-01T03:00:00.000Z","true","264","Washington","fbs","Big Ten","35","2692","Weber State","fcs","Big Sky","3"
"1","regular","2024-09-01T19:00:00.000Z","true","2011","Alabama State","fcs","SWAC","24","2428","North Carolina Central","fcs","MEAC","31"
"1","regular","2024-09-01T20:00:00.000Z","true","330","Virginia St","ii","CIAA","23","490","Benedict College","ii","SIAC","7"
"1","regular","2024-09-01T23:00:00.000Z","true","2304","Johnson C Smith","ii","CIAA","21","2657","Tuskegee","ii","SIAC","13"
"1","regular","2024-09-01T23:30:00.000Z","true","99","LSU","fbs","SEC","20","30","USC","fbs","Big Ten","27"
"1","regular","2024-09-02T23:30:00.000Z","true","52","Florida State","fbs","ACC","13","103","Boston College","fbs","ACC","28"
"2","regular","2024-09-04T23:00:00.000Z","true","2560","Shorter","ii","Gulf South","29","2401","Mississippi College","ii","Gulf South","5"
"2","regular","2024-09-05T21:00:00.000Z","true","2528","Rensselaer","iii","Liberty League","0","2740","Wisconsin-Lacrosse","iii","Wisconsin","35"
"2","regular","2024-09-05T22:00:00.000Z","true","125","Grand Valley State University","ii","GLIAC","58","2119","Central State (OH)","ii","SIAC","0"
"2","regular","2024-09-05T22:00:00.000Z","true","2134","Clarion","ii","Pennsylvania State Athletic","20","2339","Lincoln (PA)","ii","CIAA","9"
"2","regular","2024-09-05T22:00:00.000Z","true","2392","Michigan Tech","ii","GLIAC","52","613","South Dakota Mines","ii","Rocky Mountain","50"
"2","regular","2024-09-05T22:00:00.000Z","true","2838","Tiffin","ii","Great Midwest Athletic","31","131","Wayne State (MI)","ii","GLIAC","17"
"2","regular","2024-09-05T22:00:00.000Z","true","2071","Bloomsburg","ii","Pennsylvania State Athletic","35","2986","Fairmont State","ii","Mountain East","7"
